                                                                                                      2 Nov 2020 23:27:07
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-GPS_BIIR-02_24876


      Epoch (UTCG)          Mean Motion (deg/sec)    Mean Anomaly (deg)
------------------------    ---------------------    ------------------
26 Oct 2020 01:37:11.484                 0.008357               301.917


       Time (UTCG)          True Anomaly (deg)    Mean Anomaly (deg)    Mean Motion (Revs/Day)    Eccentric Anomaly (deg)
------------------------    ------------------    ------------------    ----------------------    -----------------------
27 Oct 2020 16:00:00.000                15.214                15.074                  2.005785                     15.144
27 Oct 2020 16:01:00.000                15.730                15.586                  2.005787                     15.658
27 Oct 2020 16:02:00.000                16.247                16.098                  2.005788                     16.172
27 Oct 2020 16:03:00.000                16.763                16.610                  2.005790                     16.686
27 Oct 2020 16:04:00.000                17.280                17.122                  2.005791                     17.201
27 Oct 2020 16:05:00.000                17.797                17.634                  2.005793                     17.715
27 Oct 2020 16:06:00.000                18.314                18.146                  2.005794                     18.230
27 Oct 2020 16:07:00.000                18.830                18.658                  2.005795                     18.744
27 Oct 2020 16:08:00.000                19.347                19.171                  2.005797                     19.259
27 Oct 2020 16:09:00.000                19.864                19.683                  2.005798                     19.773
27 Oct 2020 16:10:00.000                20.380                20.195                  2.005799                     20.288
27 Oct 2020 16:11:00.000                20.897                20.707                  2.005800                     20.802
27 Oct 2020 16:12:00.000                21.414                21.219                  2.005801                     21.316
27 Oct 2020 16:13:00.000                21.930                21.731                  2.005802                     21.831
27 Oct 2020 16:14:00.000                22.447                22.243                  2.005803                     22.345
27 Oct 2020 16:15:00.000                22.963                22.756                  2.005804                     22.859
27 Oct 2020 16:16:00.000                23.480                23.267                  2.005805                     23.373
27 Oct 2020 16:17:00.000                23.996                23.779                  2.005805                     23.888
27 Oct 2020 16:18:00.000                24.512                24.291                  2.005806                     24.402
27 Oct 2020 16:19:00.000                25.028                24.803                  2.005807                     24.915
27 Oct 2020 16:20:00.000                25.544                25.315                  2.005807                     25.429
27 Oct 2020 16:21:00.000                26.060                25.826                  2.005808                     25.943
27 Oct 2020 16:22:00.000                26.576                26.338                  2.005808                     26.457
27 Oct 2020 16:23:00.000                27.091                26.849                  2.005809                     26.970
27 Oct 2020 16:24:00.000                27.607                27.360                  2.005809                     27.483
27 Oct 2020 16:25:00.000                28.122                27.871                  2.005809                     27.997
27 Oct 2020 16:26:00.000                28.637                28.382                  2.005809                     28.510
27 Oct 2020 16:27:00.000                29.152                28.893                  2.005810                     29.023
27 Oct 2020 16:28:00.000                29.667                29.403                  2.005810                     29.535
27 Oct 2020 16:29:00.000                30.182                29.914                  2.005810                     30.048
27 Oct 2020 16:30:00.000                30.696                30.424                  2.005810                     30.560
27 Oct 2020 16:31:00.000                31.211                30.934                  2.005810                     31.072
27 Oct 2020 16:32:00.000                31.725                31.444                  2.005809                     31.584
27 Oct 2020 16:33:00.000                32.238                31.954                  2.005809                     32.096
27 Oct 2020 16:34:00.000                32.752                32.464                  2.005809                     32.608
27 Oct 2020 16:35:00.000                33.265                32.973                  2.005809                     33.119
27 Oct 2020 16:36:00.000                33.779                33.482                  2.005808                     33.630
27 Oct 2020 16:37:00.000                34.292                33.991                  2.005808                     34.141
27 Oct 2020 16:38:00.000                34.804                34.500                  2.005807                     34.652
27 Oct 2020 16:39:00.000                35.317                35.008                  2.005807                     35.162
