Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[19916.568847938088, -17441.908291234304, 0]","[2.552251980226763, 2.931040145117771, 0]","[4598.034363602503, 14745.954713269188, 21501.273894814483]","[-3.8291451581835463, 0.4079795746294145, 0.5255345156201876]","[13563.195004718405, -7390.862038939503, 21501.273894814483]",[[-15260.52098185  22860.36832342 -19433.29746867]],-1.2582729503779977,0.5752659251642854,-195108623.46324205,0.6678046178888929,[14361.55130196 -4640.39044183  9786.40872021],"[-14680.678546422821, 18328.988166746367, 3062.8421780247536]",2020-10-09 16:00:00,"GPS BIIR-2  (PRN 13)    
",0,0,0
"[3679.701196682236, 26239.677724278226, 0]","[-3.836829890794164, 0.5989875667144842, 0]","[15288.982030573825, -17933.875305826878, 12111.318382186622]","[2.901325181727385, 0.7080063067105854, -2.4821540998702507]","[-20575.72840477702, -11489.83270674594, 12111.318382186622]",[[ 2037.46282641 -3054.2062786   2591.80912945]],0.6896161209325518,0.010034885065689949,-101069091.85802065,-0.012712503868207338,[-20957.69021502 -25412.7809579     330.55878027],"[1959.4215913000687, -2446.583551338528, -412.3387165201637]",2020-10-09 16:00:00,"GPS BIIR-3  (PRN 11)    
",0,0,0
"[3893.375422007907, 26250.83280924524, 0]","[-3.8320790964833265, 0.5897166719796417, 0]","[-16467.157225455918, -2286.7063990667316, 20684.977691847384]","[-0.4636877680982039, -3.7737500502996295, -0.7592102254941439]","[975.1797590260326, 16596.545353807935, 20684.977691847384]",[[ 14656.20720416 -21954.13517278  18666.68103441]],0.9969181592889039,1.3544627631506292,130894241.59545718,-0.12575773561672365,[ 4898.83146872  3166.86768246 26542.49618172],"[14099.834647928848, -17604.59233422529, -2938.823172876724]",2020-10-09 16:00:00,"GPS BIIR-4  (PRN 20)    
",1,0,0
"[-12576.49968464636, 23649.72637627998, 0]","[-3.420978657745346, -1.7468813718382752, 0]","[-8139.869815633859, -24573.258135530716, 6882.979440615057]","[2.3468780400997553, 0.0047297670151935645, 3.0408601740669106]","[-22508.948672994055, 12784.745818647045, 6882.979440615057]",[[ 25667.066671   -38443.35502989  32687.41120977]],1.2598583019314342,0.5846241913511014,-794120439.7176971,0.05166708437021758,[-20487.79769299  -6584.00151832  14241.70983313],"[24692.85088070275, -30825.307897471244, -5145.661070949979]",2020-10-09 16:00:00,"GPS BIIR-5  (PRN 28)    
",1,0,0
"[-18473.410168109127, 19369.2730766433, 0]","[-2.8035851594153507, -2.6297695264220016, 0]","[-14924.112370371231, 3535.1782255181333, -21936.476645695213]","[-1.5460499594636525, -3.4903701611772786, 0.450358933515848]","[6383.30877704426, 13945.608060839617, -21936.476645695213]",[[  9012.75372756 -13500.45814028  11481.03673966]],0.11982201412686468,-0.13491450760528945,354394537.24293303,-0.08584546069477167,[ 4277.78038327 35530.10114112 -4857.65294981],"[8670.901576185774, -10827.233543231143, -1805.701167754897]",2020-10-09 16:00:00,"GPS BIIR-8  (PRN 16)    
",0,0,0
"[-10882.102356160518, 24513.268586035538, 0]","[-3.5408037304910978, -1.478940480805623, 0]","[-18938.24598597183, 18739.57623357147, 3080.845666705174]","[-1.3752975185770078, -1.7794792986423, 3.109110188578827]","[22078.990133570187, 14911.306888422803, 3080.845666705174]",[[ 144.43329575 -216.82570777  188.90685956]],0.6605664610193053,0.3356576619842845,8252722.7392061865,-0.0002244055665836821,[23122.45378253 29758.13086402 13146.90008681],"[139.54187668037122, -177.32621937550894, -25.877632341305958]",2020-10-09 16:00:00,"GPS BIIR-9  (PRN 21)    
",1,0,0
"[4431.121529033493, -26156.216161442528, 0]","[3.819553973383604, 0.6740353925653421, 0]","[-12304.149809251936, -22667.59255739562, 6210.525502126182]","[1.761068788553648, -1.742443784505044, -2.9842658470456547]","[-19826.28931262671, 16496.366477762178, 6210.525502126182]",[[ 27441.39742963 -41102.16657768  34942.81006195]],1.4769350194189068,0.7533116461457539,-619152016.7427789,0.2522343358821868,[-17470.80645706  -1644.6653779   16456.58358776],"[26399.11758169923, -32954.077046423175, -5505.225553094624]",2020-10-09 16:00:00,"GPS BIIR-10 (PRN 22)    
",1,0,0
"[18591.220801190546, -18730.02619532918, 0]","[2.749552946146838, 2.7642096712213893, 0]","[-21172.993760903744, -8933.584188710607, 12974.697719033325]","[2.3468250703774203, -1.7088468659658649, 2.602527807318354]","[-4624.005630292396, 22510.512281755684, 12974.697719033325]",[[ 23598.43621581 -35347.44531682  30054.97122244]],-0.10121090271828932,1.2429655576112268,170905236.26533678,0.16959558748264786,[ -875.5377826   8621.06896543 25478.79779002],"[22702.694022707223, -28344.013358103948, -4731.318016007284]",2020-10-09 16:00:00,"GPS BIIR-11 (PRN 19)    
",0,0,0
"[-26648.473863883413, 4843.018714160155, 0]","[-0.692816651945551, -3.7345115113420437, 0]","[-14186.397459033371, -7066.448816818574, 21963.775126179873]","[2.2071407595102213, -3.056828268766747, 0.4592403995038069]","[-4158.096790218953, 15293.750450087644, 21963.775126179873]",[[ 16614.68066565 -24889.73789008  21161.53922529]],0.06186687931850549,1.4827378268447875,-40190632.50793777,-0.18771086921242913,[ -144.57756971 -2333.93160956 26486.46026085],"[15983.78132763056, -19958.6978308668, -3332.5923770443974]",2020-10-09 16:00:00,"GPS BIIR-13 (PRN 02)    
",1,0,0
"[25058.50087262708, 7696.118392006856, 0]","[-1.137442121360806, 3.7564506127337, 0]","[-10084.547625267318, 13014.91066568793, -20397.860276144565]","[-3.623886260993775, -0.9751440214569531, 1.1494512995992854]","[14734.606047002995, 7346.930316924545, -20397.860276144565]",[[-2234.57825448  3349.99681671 -2843.98980722]],0.3184275053344908,-0.22217226859296424,-109163723.5651707,0.02200996379413397,[11860.39483605 35979.28139936 -8557.99066014],"[-2149.136523951563, 2684.5089260855984, 451.461734994391]",2020-10-09 16:00:00,"GPS BIIRM-1 (PRN 17)    
",0,0,0
