Sat No.,Sat Name,AOS Time,LOS Time,Min Expected Level
3,"GPS BIIR-8  (PRN 16)    
",2021-01-12 19:30:00,2021-01-12 23:10:00,-1.6287269543037788
9,"GPS BIIRM-2 (PRN 31)    
",2021-01-12 19:30:00,2021-01-12 20:35:00,-1.6369524818533665
12,"GPS BIIRM-5 (PRN 29)    
",2021-01-12 19:30:00,2021-01-12 19:50:00,-1.6402878981118731
18,"GPS BIIF-4  (PRN 27)    
",2021-01-12 19:30:00,2021-01-13 00:15:00,-1.6385542175224699
21,"GPS BIIF-7  (PRN 09)    
",2021-01-12 19:30:00,2021-01-12 23:25:00,-1.6368542309775949
22,"GPS BIIF-8  (PRN 03)    
",2021-01-12 19:30:00,2021-01-12 20:10:00,-1.6384859247372516
23,"GPS BIIF-9  (PRN 26)    
",2021-01-12 19:30:00,2021-01-12 21:55:00,-1.6303684676636232
27,"GPS BIII-1  (PRN 04)    
",2021-01-12 19:30:00,2021-01-12 22:35:00,-1.6305586424991638
13,"GPS BIIRM-6 (PRN 07)    
",2021-01-12 20:00:00,2021-01-13 01:45:00,-1.642608660390332
24,"GPS BIIF-10 (PRN 08)    
",2021-01-12 20:10:00,2021-01-13 01:50:00,-1.6408577612510777
28,"GPS BIII-2  (PRN 18)    
",2021-01-12 21:05:00,2021-01-12 21:30:00,-1.6417220335157932
19,"GPS BIIF-5  (PRN 30)    
",2021-01-12 21:30:00,2021-01-13 02:45:00,-1.6415277463821605
4,"GPS BIIR-9  (PRN 21)    
",2021-01-12 22:10:00,2021-01-13 02:50:00,-1.6404809368505617
2,"GPS BIIR-5  (PRN 28)    
",2021-01-12 22:50:00,2021-01-13 04:55:00,-1.6414111213961142
16,"GPS BIIF-2  (PRN 01)    
",2021-01-12 22:50:00,2021-01-13 03:45:00,-1.6413289179696662
0,"GPS BIIR-2  (PRN 13)    
",2021-01-12 23:10:00,2021-01-13 01:35:00,-1.6413942648544362
8,"GPS BIIRM-1 (PRN 17)    
",2021-01-12 23:55:00,2021-01-13 06:30:00,-1.641434684191887
6,"GPS BIIR-11 (PRN 19)    
",2021-01-13 00:50:00,2021-01-13 07:20:00,-1.6413340612244252
5,"GPS BIIR-10 (PRN 22)    
",2021-01-13 00:55:00,2021-01-13 04:20:00,-1.641326394929957
22,"GPS BIIF-8  (PRN 03)    
",2021-01-13 01:30:00,2021-01-13 05:15:00,-1.6414211767555928
20,"GPS BIIF-6  (PRN 06)    
",2021-01-13 01:55:00,2021-01-13 08:10:00,-1.641130720741895
17,"GPS BIIF-3  (PRN 24)    
",2021-01-13 02:00:00,2021-01-13 04:40:00,-1.6412326839759162
7,"GPS BIIR-13 (PRN 02)    
",2021-01-13 03:25:00,2021-01-13 09:55:00,-1.641101502729623
10,"GPS BIIRM-3 (PRN 12)    
",2021-01-13 03:30:00,2021-01-13 08:00:00,-1.6411468032484156
27,"GPS BIII-1  (PRN 04)    
",2021-01-13 04:55:00,2021-01-13 06:30:00,-1.6416189964067947
21,"GPS BIIF-7  (PRN 09)    
",2021-01-13 05:00:00,2021-01-13 08:00:00,-1.6414953260771155
15,"GPS BIIF-1  (PRN 25)    
",2021-01-13 05:05:00,2021-01-13 08:35:00,-1.6408042600027963
14,"GPS BIIRM-8 (PRN 05)    
",2021-01-13 05:20:00,2021-01-13 11:30:00,-1.6411276209163828
12,"GPS BIIRM-5 (PRN 29)    
",2021-01-13 06:30:00,2021-01-13 11:20:00,-1.6412993296652199
0,"GPS BIIR-2  (PRN 13)    
",2021-01-13 07:25:00,2021-01-13 12:30:00,-1.6416019382949445
11,"GPS BIIRM-4 (PRN 15)    
",2021-01-13 08:10:00,2021-01-13 14:05:00,-1.6413779611620751
28,"GPS BIII-2  (PRN 18)    
",2021-01-13 08:20:00,2021-01-13 13:55:00,-1.6415573273828614
19,"GPS BIIF-5  (PRN 30)    
",2021-01-13 08:55:00,2021-01-13 10:40:00,-1.6419583829105397
1,"GPS BIIR-4  (PRN 20)    
",2021-01-13 09:15:00,2021-01-13 15:35:00,-1.6417496735980774
29,"GPS BIII-3  (PRN 23)    
",2021-01-13 09:20:00,2021-01-13 15:40:00,-1.6414990245401464
17,"GPS BIIF-3  (PRN 24)    
",2021-01-13 10:25:00,2021-01-13 15:15:00,-1.6408483934958353
25,"GPS BIIF-11 (PRN 10)    
",2021-01-13 10:40:00,2021-01-13 16:45:00,-1.642082653615767
18,"GPS BIIF-4  (PRN 27)    
",2021-01-13 10:50:00,2021-01-13 13:05:00,-1.641220208835207
26,"GPS BIIF-12 (PRN 32)    
",2021-01-13 12:05:00,2021-01-13 18:35:00,-1.6414751624521036
4,"GPS BIIR-9  (PRN 21)    
",2021-01-13 13:30:00,2021-01-13 16:35:00,-1.6430206638783638
10,"GPS BIIRM-3 (PRN 12)    
",2021-01-13 13:30:00,2021-01-13 16:50:00,-1.6410454862879889
15,"GPS BIIF-1  (PRN 25)    
",2021-01-13 14:00:00,2021-01-13 18:20:00,-1.6410364986962254
16,"GPS BIIF-2  (PRN 01)    
",2021-01-13 14:25:00,2021-01-13 17:00:00,-1.6409022880290194
5,"GPS BIIR-10 (PRN 22)    
",2021-01-13 15:05:00,2021-01-13 19:30:00,-1.6416120875541167
12,"GPS BIIRM-5 (PRN 29)    
",2021-01-13 17:10:00,2021-01-13 19:50:00,-1.6414101157151335
