Sat Name,Azimuth(rads),Elevation(rads),Time
"GPS BIIR-2  (PRN 13)    
",5.674393538734897,0.4740959760727807,2021-01-12 19:30:00
"GPS BIIRM-3 (PRN 12)    
",0.08161976714434882,0.2578890717572006,2021-01-12 19:30:00
"GPS BIIRM-5 (PRN 29)    
",1.2089542324083773,0.9873329268571562,2021-01-12 19:30:00
"GPS BIIRM-8 (PRN 05)    
",0.36222643930910436,1.1716097135494838,2021-01-12 19:30:00
"GPS BIIF-1  (PRN 25)    
",0.6796036797563492,0.5622792258058215,2021-01-12 19:30:00
"GPS BIIF-6  (PRN 06)    
",0.8215058469339862,0.18230513808897736,2021-01-12 19:30:00
"GPS BIIF-7  (PRN 09)    
",3.61449636875732,0.36127328583507373,2021-01-12 19:30:00
"GPS BIIF-9  (PRN 26)    
",2.619492751994681,0.21889211955558824,2021-01-12 19:30:00
"GPS BIII-3  (PRN 23)    
",3.7641071631841765,0.7372681860794372,2021-01-12 19:30:00
"GPS BIIR-2  (PRN 13)    
",5.673702581671855,0.4749610471330665,2021-01-12 19:30:05
"GPS BIIRM-3 (PRN 12)    
",0.08056419236128853,0.2567696024391891,2021-01-12 19:30:05
"GPS BIIRM-5 (PRN 29)    
",1.2086624140023634,0.9876123436282516,2021-01-12 19:30:05
"GPS BIIRM-8 (PRN 05)    
",0.36242923415727724,1.1720402783617387,2021-01-12 19:30:05
"GPS BIIF-1  (PRN 25)    
",0.6789629109223609,0.5618315735052685,2021-01-12 19:30:05
"GPS BIIF-3  (PRN 24)    
",3.4454881950241223,0.15744535430050446,2021-01-12 19:30:05
"GPS BIIF-6  (PRN 06)    
",0.8226877475539744,0.18667277177157085,2021-01-12 19:30:05
"GPS BIIF-7  (PRN 09)    
",3.614315635021594,0.36108476701360886,2021-01-12 19:30:05
"GPS BIIF-9  (PRN 26)    
",2.618573912141244,0.2197595859740323,2021-01-12 19:30:05
"GPS BIII-3  (PRN 23)    
",3.7571859094348783,0.5805442858347706,2021-01-12 19:30:05
"GPS BIIR-2  (PRN 13)    
",5.673011871431382,0.47582577258942393,2021-01-12 19:30:10
"GPS BIIRM-3 (PRN 12)    
",0.07950618527738662,0.25564769523201225,2021-01-12 19:30:10
"GPS BIIRM-5 (PRN 29)    
",1.2083698839142833,0.9878912255542541,2021-01-12 19:30:10
"GPS BIIRM-8 (PRN 05)    
",0.36263207321942215,1.172470924496073,2021-01-12 19:30:10
"GPS BIIF-1  (PRN 25)    
",0.678322101122852,0.5613834612879898,2021-01-12 19:30:10
"GPS BIIF-3  (PRN 24)    
",3.4388807659275455,0.15874136029745,2021-01-12 19:30:10
"GPS BIIF-6  (PRN 06)    
",0.8238652393338457,0.19103420127171664,2021-01-12 19:30:10
"GPS BIIF-7  (PRN 09)    
",3.6141351177231957,0.3608960090801998,2021-01-12 19:30:10
"GPS BIIF-9  (PRN 26)    
",2.6176533684568586,0.22062704201146321,2021-01-12 19:30:10
"GPS BIII-3  (PRN 23)    
",3.7549802314829925,0.43518749519129457,2021-01-12 19:30:10
"GPS BIIR-2  (PRN 13)    
",5.672321407422569,0.47669015097896267,2021-01-12 19:30:15
"GPS BIIRM-3 (PRN 12)    
",0.07844573348574446,0.25452334048434583,2021-01-12 19:30:15
"GPS BIIRM-5 (PRN 29)    
",1.2080766424539462,0.9881695727354851,2021-01-12 19:30:15
"GPS BIIRM-8 (PRN 05)    
",0.3628349565014073,1.1729016521984077,2021-01-12 19:30:15
"GPS BIIF-1  (PRN 25)    
",0.6776812491917026,0.5609348888989925,2021-01-12 19:30:15
"GPS BIIF-3  (PRN 24)    
",3.432224267979285,0.1600377661854597,2021-01-12 19:30:15
"GPS BIIF-6  (PRN 06)    
",0.8250383930737302,0.19538952799772716,2021-01-12 19:30:15
"GPS BIIF-7  (PRN 09)    
",3.6139548168493367,0.3607070120952486,2021-01-12 19:30:15
"GPS BIIF-9  (PRN 26)    
",2.6167311181481843,0.221494485156612,2021-01-12 19:30:15
"GPS BIII-3  (PRN 23)    
",3.7560508989491495,0.29950880441296834,2021-01-12 19:30:15
"GPS BIIR-2  (PRN 13)    
",5.671631189053501,0.4775541808438973,2021-01-12 19:30:20
"GPS BIIRM-3 (PRN 12)    
",0.07738282450713818,0.2533965285032348,2021-01-12 19:30:20
"GPS BIIRM-5 (PRN 29)    
",1.207782689934211,0.9884473852718502,2021-01-12 19:30:20
"GPS BIIRM-8 (PRN 05)    
",0.3630378840094002,1.173332461714629,2021-01-12 19:30:20
"GPS BIIF-1  (PRN 25)    
",0.6770403539582857,0.5604858560803639,2021-01-12 19:30:20
"GPS BIIF-3  (PRN 24)    
",3.425517565276813,0.16133453075408935,2021-01-12 19:30:20
"GPS BIIF-6  (PRN 06)    
",0.8262072786157271,0.1997388521847486,2021-01-12 19:30:20
"GPS BIIF-7  (PRN 09)    
",3.613774732387177,0.36051777611919433,2021-01-12 19:30:20
"GPS BIIF-9  (PRN 26)    
",2.615807158423065,0.22236191288441912,2021-01-12 19:30:20
"GPS BIII-3  (PRN 23)    
",3.759771334412832,0.1712159992852935,2021-01-12 19:30:20
"GPS BIIR-2  (PRN 13)    
",5.67094121573113,0.47841786073163295,2021-01-12 19:30:25
"GPS BIIRM-3 (PRN 12)    
",0.07631744578940491,0.2522672495539413,2021-01-12 19:30:25
"GPS BIIRM-5 (PRN 29)    
",1.2074880266709798,0.988724663262848,2021-01-12 19:30:25
"GPS BIIRM-8 (PRN 05)    
",0.36324085574988985,1.1737633532905258,2021-01-12 19:30:25
"GPS BIIF-1  (PRN 25)    
",0.6763994142474461,0.5600363625712597,2021-01-12 19:30:25
"GPS BIIF-3  (PRN 24)    
",3.418759509504466,0.16263160640381844,2021-01-12 19:30:25
"GPS BIIF-6  (PRN 06)    
",0.8273719648661801,0.2040822729055445,2021-01-12 19:30:25
"GPS BIIF-7  (PRN 09)    
",3.613594864323826,0.36032830121251147,2021-01-12 19:30:25
"GPS BIIF-9  (PRN 26)    
",2.6148814864904555,0.2232293226560916,2021-01-12 19:30:25
"GPS BIIR-2  (PRN 13)    
",5.670251486861421,0.4792811891946678,2021-01-12 19:30:30
"GPS BIIRM-3 (PRN 12)    
",0.07524958470703513,0.25113549385995854,2021-01-12 19:30:30
"GPS BIIRM-5 (PRN 29)    
",1.2071926529832169,0.989001406807559,2021-01-12 19:30:30
"GPS BIIRM-8 (PRN 05)    
",0.3634438717296513,1.1741943271718798,2021-01-12 19:30:30
"GPS BIIF-1  (PRN 25)    
",0.6757584288795133,0.559586408107897,2021-01-12 19:30:30
"GPS BIIF-3  (PRN 24)    
",3.4119489398799656,0.16392893888173754,2021-01-12 19:30:30
"GPS BIIF-6  (PRN 06)    
",0.828532519817367,0.20841988808070425,2021-01-12 19:30:30
"GPS BIIF-7  (PRN 09)    
",3.613415212646344,0.3601385874357117,2021-01-12 19:30:30
"GPS BIIF-9  (PRN 26)    
",2.613954099560676,0.22409671191893835,2021-01-12 19:30:30
"GPS BIIR-2  (PRN 13)    
",5.6695620018492185,0.48014416479068395,2021-01-12 19:30:35
"GPS BIIRM-3 (PRN 12)    
",0.07417922856061487,0.2500012516029148,2021-01-12 19:30:35
"GPS BIIRM-5 (PRN 29)    
",1.2068965691929456,0.9892776160046582,2021-01-12 19:30:35
"GPS BIIRM-8 (PRN 05)    
",0.363646931955782,1.174625383604379,2021-01-12 19:30:35
"GPS BIIF-1  (PRN 25)    
",0.6751173966702435,0.5591359924235272,2021-01-12 19:30:35
"GPS BIIF-3  (PRN 24)    
",3.4050846831226047,0.1652264670066128,2021-01-12 19:30:35
"GPS BIIF-6  (PRN 06)    
",0.8296890105686572,0.21275179448848158,2021-01-12 19:30:35
"GPS BIIF-7  (PRN 09)    
",3.6132357773417354,0.35994863484933937,2021-01-12 19:30:35
"GPS BIIF-9  (PRN 26)    
",2.613024994845297,0.22496407810646726,2021-01-12 19:30:35
"GPS BIIR-2  (PRN 13)    
",5.668872760098365,0.48100678608247194,2021-01-12 19:30:40
"GPS BIIRM-3 (PRN 12)    
",0.07310636457630615,0.24886451292250955,2021-01-12 19:30:40
"GPS BIIRM-5 (PRN 29)    
",1.20659977562525,0.9895532909524174,2021-01-12 19:30:40
"GPS BIIRM-8 (PRN 05)    
",0.36385003643568314,1.1750565228336685,2021-01-12 19:30:40
"GPS BIIF-1  (PRN 25)    
",0.6744763164308614,0.5586851152484448,2021-01-12 19:30:40
"GPS BIIF-3  (PRN 24)    
",3.3981655534448367,0.16652412238307562,2021-01-12 19:30:40
"GPS BIIF-6  (PRN 06)    
",0.8308415033473207,0.21707808777497042,2021-01-12 19:30:40
"GPS BIIF-7  (PRN 09)    
",3.613056558396956,0.35975844351397535,2021-01-12 19:30:40
"GPS BIIF-9  (PRN 26)    
",2.612094169557338,0.22583141863825612,2021-01-12 19:30:40
"GPS BIIR-2  (PRN 13)    
",5.668183761011608,0.4818690516379873,2021-01-12 19:30:45
"GPS BIIRM-3 (PRN 12)    
",0.07203097990536289,0.24772526791648866,2021-01-12 19:30:45
"GPS BIIRM-5 (PRN 29)    
",1.2063022726082853,0.9898284317486998,2021-01-12 19:30:45
"GPS BIIRM-8 (PRN 05)    
",0.3640531851770632,1.175487745105345,2021-01-12 19:30:45
"GPS BIIF-1  (PRN 25)    
",0.6738351869679962,0.5582337763099536,2021-01-12 19:30:45
"GPS BIIF-3  (PRN 24)    
",3.3911903525686364,0.16782182910478813,2021-01-12 19:30:45
"GPS BIIF-6  (PRN 06)    
",0.8319900635288642,0.22139886246404783,2021-01-12 19:30:45
"GPS BIIF-7  (PRN 09)    
",3.6128775557989092,0.35956801349023765,2021-01-12 19:30:45
"GPS BIIF-9  (PRN 26)    
",2.61116162091119,0.22669873092001824,2021-01-12 19:30:45
"GPS BIIR-2  (PRN 13)    
",5.667495003990676,0.4827309600303127,2021-01-12 19:30:50
"GPS BIIRM-3 (PRN 12)    
",0.07095306162359627,0.24658350664057507,2021-01-12 19:30:50
"GPS BIIRM-5 (PRN 29)    
",1.2060040604732798,0.9901030384909708,2021-01-12 19:30:50
"GPS BIIRM-8 (PRN 05)    
",0.36425637818794243,1.175919050664952,2021-01-12 19:30:50
"GPS BIIF-1  (PRN 25)    
",0.6731940070837066,0.5577819753323692,2021-01-12 19:30:50
"GPS BIIF-3  (PRN 24)    
",3.3841578697693393,0.169119503446221,2021-01-12 19:30:50
"GPS BIIF-6  (PRN 06)    
",0.8331347556569,0.22571421196702296,2021-01-12 19:30:50
"GPS BIIF-7  (PRN 09)    
",3.612698769534448,0.35937734483878,2021-01-12 19:30:50
"GPS BIIF-9  (PRN 26)    
",2.610227346122862,0.22756601234345408,2021-01-12 19:30:50
"GPS BIIR-2  (PRN 13)    
",5.6668064884362055,0.4835925098376902,2021-01-12 19:30:55
"GPS BIIRM-3 (PRN 12)    
",0.06987259673083823,0.24543921910842098,2021-01-12 19:30:55
"GPS BIIRM-5 (PRN 29)    
",1.2057051395545422,0.9903771112762874,2021-01-12 19:30:55
"GPS BIIRM-8 (PRN 05)    
",0.3644596154766617,1.176350439757954,2021-01-12 19:30:55
"GPS BIIF-1  (PRN 25)    
",0.6725527755754488,0.5573297120370002,2021-01-12 19:30:55
"GPS BIIF-3  (PRN 24)    
",3.377066881947429,0.17041705354311662,2021-01-12 19:30:55
"GPS BIIF-6  (PRN 06)    
",0.8342756434625889,0.2300242285921331,2021-01-12 19:30:55
"GPS BIIF-7  (PRN 09)    
",3.612520199590373,0.3591864376202939,2021-01-12 19:30:55
"GPS BIIF-9  (PRN 26)    
",2.609291342409861,0.22843326028633976,2021-01-12 19:30:55
"GPS BIIR-2  (PRN 13)    
",5.666118213747807,0.484453699643492,2021-01-12 19:31:00
"GPS BIIRM-3 (PRN 12)    
",0.0687895721504157,0.24429239529155417,2021-01-12 19:31:00
"GPS BIIRM-5 (PRN 29)    
",1.205405510189462,0.9906506502013133,2021-01-12 19:31:00
"GPS BIIRM-8 (PRN 05)    
",0.3646628970518657,1.1767819126297867,2021-01-12 19:31:00
"GPS BIIF-1  (PRN 25)    
",0.6719114912360489,0.5568769861421298,2021-01-12 19:31:00
"GPS BIIF-3  (PRN 24)    
",3.369916153731404,0.1717143790612765,2021-01-12 19:31:00
"GPS BIIF-6  (PRN 06)    
",0.8354127898837724,0.23432900355433262,2021-01-12 19:31:00
"GPS BIIF-7  (PRN 09)    
",3.6123418459534324,0.35899529189550256,2021-01-12 19:31:00
"GPS BIIF-9  (PRN 26)    
",2.6083536069914164,0.22930047211238863,2021-01-12 19:31:00
"GPS BIIR-2  (PRN 13)    
",5.665430179324012,0.48531452803625025,2021-01-12 19:31:05
"GPS BIIRM-3 (PRN 12)    
",0.06770397472863365,0.24314302511935662,2021-01-12 19:31:05
"GPS BIIRM-5 (PRN 29)    
",1.2051051727185191,0.9909236553623125,2021-01-12 19:31:05
"GPS BIIRM-8 (PRN 05)    
",0.3648662229225179,1.1772134695258234,2021-01-12 19:31:05
"GPS BIIF-1  (PRN 25)    
",0.6712701528537313,0.5564237973630175,2021-01-12 19:31:05
"GPS BIIF-3  (PRN 24)    
",3.3627044376134454,0.17301137085359897,2021-01-12 19:31:05
"GPS BIIF-6  (PRN 06)    
",0.8365462570836071,0.23862862698447093,2021-01-12 19:31:05
"GPS BIIF-7  (PRN 09)    
",3.61216370861032,0.358803907725166,2021-01-12 19:31:05
"GPS BIIF-9  (PRN 26)    
",2.607414137088357,0.23016764517135693,2021-01-12 19:31:05
"GPS BIIR-2  (PRN 13)    
",5.664742384562358,0.48617499360960353,2021-01-12 19:31:10
"GPS BIIRM-3 (PRN 12)    
",0.06661579123422978,0.24199109847901126,2021-01-12 19:31:10
"GPS BIIRM-5 (PRN 29)    
",1.204804127485282,0.9911961268551559,2021-01-12 19:31:10
"GPS BIIRM-8 (PRN 05)    
",0.3650695930979042,1.1776451106913641,2021-01-12 19:31:10
"GPS BIIF-1  (PRN 25)    
",0.6706287592120708,0.5559701454118744,2021-01-12 19:31:10
"GPS BIIF-3  (PRN 24)    
",3.355430474119702,0.17430791060532877,2021-01-12 19:31:10
"GPS BIIF-6  (PRN 06)    
",0.837676106468848,0.2429231879385434,2021-01-12 19:31:10
"GPS BIIF-7  (PRN 09)    
",3.61198578754768,0.35861228517008154,2021-01-12 19:31:10
"GPS BIIF-9  (PRN 26)    
",2.60647292992339,0.23103477679886453,2021-01-12 19:31:10
"GPS BIIR-2  (PRN 13)    
",5.664054828859257,0.4870350949623801,2021-01-12 19:31:15
"GPS BIIRM-3 (PRN 12)    
",0.06552500835784336,0.24083660521547587,2021-01-12 19:31:15
"GPS BIIRM-5 (PRN 29)    
",1.204502374836423,0.9914680647753129,2021-01-12 19:31:15
"GPS BIIRM-8 (PRN 05)    
",0.36527300758762227,1.1780768363716736,2021-01-12 19:31:15
"GPS BIIF-1  (PRN 25)    
",0.6699873090899899,0.5555160299978542,2021-01-12 19:31:15
"GPS BIIF-3  (PRN 24)    
",3.348092992018165,0.17560387046731837,2021-01-12 19:31:15
"GPS BIIF-6  (PRN 06)    
",0.8388023987078332,0.24721277440705683,2021-01-12 19:31:15
"GPS BIIF-7  (PRN 09)    
",3.6118080827521073,0.3584204242910863,2021-01-12 19:31:15
"GPS BIIF-9  (PRN 26)    
",2.6055299827210234,0.23190186431646212,2021-01-12 19:31:15
"GPS BIIR-2  (PRN 13)    
",5.663367511610128,0.4878948306985168,2021-01-12 19:31:20
"GPS BIIRM-3 (PRN 12)    
",0.06443161271142372,0.23967953513141263,2021-01-12 19:31:20
"GPS BIIRM-5 (PRN 29)    
",1.2041999151217038,0.991739469217877,2021-01-12 19:31:20
"GPS BIIRM-8 (PRN 05)    
",0.36547646640159925,1.1785086468119372,2021-01-12 19:31:20
"GPS BIIF-1  (PRN 25)    
",0.6693458012617439,0.5550614508270391,2021-01-12 19:31:20
"GPS BIIF-3  (PRN 24)    
",3.3406907085660684,0.17689911267734493,2021-01-12 19:31:20
"GPS BIIF-6  (PRN 06)    
",0.839925193747959,0.2514974733236611,2021-01-12 19:31:20
"GPS BIIF-7  (PRN 09)    
",3.611630594210137,0.35822832514904535,2021-01-12 19:31:20
"GPS BIIF-9  (PRN 26)    
",2.6045852927076485,0.23276890503159722,2021-01-12 19:31:20
"GPS BIIR-2  (PRN 13)    
",5.662680432209319,0.48875419942710213,2021-01-12 19:31:25
"GPS BIIRM-3 (PRN 12)    
",0.0633355908277542,0.2385198779872153,2021-01-12 19:31:25
"GPS BIIRM-5 (PRN 29)    
",1.2038967486940058,0.992010340277534,2021-01-12 19:31:25
"GPS BIIRM-8 (PRN 05)    
",0.365679969550067,1.1789405422573205,2021-01-12 19:31:25
"GPS BIIF-1  (PRN 25)    
",0.668704234496893,0.5546064076024243,2021-01-12 19:31:25
