Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Mean Anom @time,Mean Anom Motion @time,Eccentric Anomaly,Topocentric Range,Topocentric Reletive Velocity,Time,Time Since Epoch,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[4487.727961217881, -26156.498282383436, 0]","[3.8181770593830784, 0.6733715791306335, 0]","[-24159.31826375279, 7320.544403526028, -8187.739328833628]","[-1.572903610497951, -1.937795919712432, 2.96695577082107]","[-11902.257609746463, 22262.059498719515, -8187.739328833627]","[[-2.4824921715029302, -0.2575100246559432, 37.175941488318]]",5.743247909011439,-1.1341946887951748,-0.0007900198439190325,0.0005376261892732218,279.73525449244926,2.00562373472644,280.00191293860564,[ -7044.53057705  11753.72463801 -29365.78087668],"[2.950669871210321, -25.981531907263438, 26.543045254834627]",2021-01-12 19:30:00,126552.364417,"GPS BIIR-2  (PRN 13)    
",0,0,0
"[-24233.43018928936, 11208.931958968444, 0]","[-1.6263332638543948, -3.493594318867677, 0]","[6521.3287393503215, 21716.9504623074, -14097.717137570726]","[-2.153627205857541, 2.1769675602025607, 2.339415151263185]","[19969.67622679466, 10740.842485856596, -14097.717137570724]","[[0.017130510340409133, 3.0621894855804603, 61.2407290353203]]",1.8050484216087472,-0.7585156778113128,0.0016308036243422358,0.0017777652655122627,155.1764716189473,2.005637039536051,155.0375141264039,[ 21758.31963461  -5192.25455266 -21197.79124688],"[8.3607363407184, -39.49933151947514, 46.14872791348745]",2021-01-12 19:30:00,81035.790336,"GPS BIIR-4  (PRN 20)    
",0,0,0
"[26058.92105570811, -868.4895472052364, 0]","[0.12906028160872518, 3.943505030769991, 0]","[-11318.458329592493, -10027.422842749562, -21240.6434190496]","[1.9326422689236102, -3.3916185481225387, 0.5742002859613736]","[-15093.63027304027, 915.9874490295579, -21240.643419049597]","[[-1.032422113177068, -3.7646098198647406, 89.3191930330891]]",4.029490339222631,-0.9201368018871601,-0.003041801895143207,0.0024593538297258254,358.09017040490426,2.0056420008405618,358.12584785053144,[-14578.48455619 -11859.1133491  -24686.95877601],"[12.382187130456536, -63.616611716544476, 61.585425079077]",2021-01-12 19:30:00,98639.107777,"GPS BIIR-5  (PRN 28)    
",0,0,0
"[25896.959213998125, 4279.505349279458, 0]","[-0.6316560833812458, 3.868473715467612, 0]","[17008.31713980547, -12719.241817239123, 15424.159563243273]","[0.3019543861262262, 3.1662474409788945, 2.2908031312467827]","[3028.5343150845692, -21021.17846924763, 15424.15956324327]","[[2.4528032775377286, 2.024859350796109, -62.1524861592719]]",3.4400680355259206,1.3307982847055255,0.004157788789811009,-0.0017194444550893888,9.385386370709512,2.005684377909509,9.272946068329722,[-1381.17928634 -4489.20879462 19193.28183508],"[-6.830805881809811, 44.207596804497, -43.26749716430742]",2021-01-12 19:30:00,113812.312032,"GPS BIIR-8  (PRN 16)    
",1,0,0
"[22525.95224138319, -12976.094741145525, 0]","[1.9342451560419387, 3.452227315155227, 0]","[7268.720999303642, -13590.999774689482, -20934.373152089684]","[3.0363202802668092, 2.4875263486385046, -0.5021449787115637]","[-4473.5433022939715, -14749.135234440968, -20934.37315208968]","[[3.905869948914454, -0.38885488514010147, 86.96322774543502]]",3.4388240918049644,-0.45123861981970825,-0.0012947058607625356,0.0029231643379316516,330.03314549128027,2.0055631883009832,330.7458282436659,[ -7425.09170951 -24240.81585751 -12285.40519571],"[16.373903129581443, -58.61938483506847, 62.23883856520106]",2021-01-12 19:30:00,114656.662945,"GPS BIIR-9  (PRN 21)    
",0,0,0
"[-5081.545417520334, -26104.56021594955, 0]","[3.802677456158209, -0.7128736893131122, 0]","[10463.967533684427, -23575.404682644923, -6478.876862696214]","[1.857708987737519, 1.6671942437258438, -2.9559982075528084]","[-9276.109463485147, -24067.57394749041, -6478.876862696213]","[[2.4924553693277423, -0.13522411524079003, 24.113232646059245]]",3.7532542056783096,0.15222943959395904,-0.0005732841730978885,0.0006377771049124913,258.9852977351727,2.0056767616772078,259.3819539141909,[-14049.77063394 -20031.18334605   3753.67015235],"[5.923245038611678, -15.982021060466169, 17.23858401980246]",2021-01-12 19:30:00,152967.622176,"GPS BIIR-10 (PRN 22)    
",0,0,0
"[-3636.554535050623, 26339.62613703072, 0]","[-3.8377231458633094, -0.4959671868533121, 0]","[-25425.564463625582, -2527.35959577423, -7358.910184573355]","[1.0586150052862917, -2.1438616425916894, -3.042580142368799]","[-19762.38969032934, 16195.518779832173, -7358.910184573354]","[[-0.7678484545240767, -2.2643359341931175, 27.703495580131513]]",5.23598708322658,-0.9491861782635664,-0.000869526320274543,0.0003785822298566311,97.85989468541504,2.0057088395052975,97.3640695143357,[-15988.71607685   9231.07518896 -25772.82445185],"[3.565442931832675, -20.595304446562448, 18.339071058360865]",2021-01-12 19:30:00,89369.739937,"GPS BIIR-11 (PRN 19)    
",0,0,0
"[-24595.688491507077, -11266.909092042079, 0]","[1.6137342222985713, -3.443199628952503, 0]","[-18012.471894115675, 1963.335815034121, 20089.48236268649]","[-1.7893122338182241, -3.072318195771966, -1.3486973192207208]","[-11345.563366436141, 14127.350181724987, 20089.482362686485]","[[-3.437877349595106, -0.9065189988654399, -85.28405329677214]]",5.973971769744063,-0.12678428257587296,9.280715549507097e-05,-0.002013599617547269,204.6251982097076,2.0057306288064947,205.10656652860226,[-8181.01066705 25608.82825322 -3426.82971129],"[-15.482326919129513, 56.66289999206948, -61.932413498512766]",2021-01-12 19:30:00,78623.574913,"GPS BIIR-13 (PRN 02)    
",0,0,0
"[17098.923842192817, -20005.726884319396, 0]","[2.9452234046825234, 2.570857065591854, 0]","[-21434.170117939924, -6329.976556147334, -13896.40431496313]","[2.255542340504835, -1.9952390056720826, -2.493029686070328]","[-19630.03126875253, 10684.293342751385, -13896.404314963129]","[[0.18344740593071762, -3.0057939032512926, 55.56718420728725]]",4.758859794570824,-1.0034544913415062,-0.0023171704299874882,0.001045785165975035,310.5123570235978,2.005807109348102,311.1201072458877,[-16998.19015297    790.4888479  -26704.17743741],"[8.609708718933508, -39.87327381449667, 37.85201925598492]",2021-01-12 19:30:00,91285.575265,"GPS BIIRM-1 (PRN 17)    
",0,0,0
"[-17074.18077558906, 20563.0396866401, 0]","[-2.9805470601413764, -2.4364167717352387, 0]","[20787.056358138383, 9944.442724547811, 13541.513843496139]","[0.22086536050522088, 2.9584539394303624, -2.4532745961485913]","[21728.88264052252, -7671.330545129195, 13541.513843496137]","[[2.248514161037185, 1.935307543213061, -59.03072962504931]]",1.5295116795521775,0.52654376450179,-0.002143817330251187,-0.001711740492664834,129.6998592037654,2.005577226295456,129.26530073112545,[19674.40391688   812.71261301 11446.16189569],"[-6.568858146937386, 41.97895234739559, -41.085836169480366]",2021-01-12 19:30:00,81879.954625,"GPS BIIRM-2 (PRN 31)    
",1,0,0
"[-11811.353349188417, 23891.949697793592, 0]","[-3.472919972333012, -1.685910058875854, 0]","[-10912.054557003401, 24293.44393265805, -1043.53990679067]","[-1.9367006541924694, -0.9766333228471379, -3.193562867645372]","[9467.163180948926, 24892.11067927957, -1043.5399067906699]","[[-2.0598993014323703, 0.6792914979619665, 1.1664247105284782]]",0.752238294525652,-0.8276999425578783,-4.345819008565568e-05,1.211609109450642e-05,116.30402194124235,2.0057521956862154,115.8947216321437,[ 14407.10239761  15395.72254594 -22949.22467548],"[-1.9487509495456217, -0.7413862332941306, 1.3106810696364706]",2021-01-12 19:30:00,107910.168193,"GPS BIIRM-3 (PRN 12)    
",0,0,0
"[-4892.4028993894635, -26167.117554813438, 0]","[3.8081679472356122, -0.6618902113796685, 0]","[-14163.860747260309, 16554.67530949108, -15296.451267758968]","[-3.106750366909046, -0.7189396379799575, 2.184369410361872]","[1695.0043585739477, 21720.93888612714, -15296.451267758966]","[[-2.7048259097756753, 1.6889904804807023, 66.09408391536637]]",0.9483727453634119,-1.3396858313639153,0.005268502477089186,0.001335540014442607,259.4124252976312,2.005481918195856,260.1392239101659,[  6147.36119701   4411.18751021 -32153.83932865],"[6.598845342829069, -44.3289029874261, 48.68264886722608]",2021-01-12 19:30:00,209783.502721,"GPS BIIRM-4 (PRN 15)    
",0,0,0
"[18159.197599518524, -19351.57642170499, 0]","[2.824921055779878, 2.6557734061952853, 0]","[3750.8338435364167, 14275.707922327409, 22053.919748154254]","[-3.816795687550143, 0.6426662471106802, 0.22882773163652126]","[12748.212000917598, 7439.602273312747, 22053.91974815425]","[[-2.2438033772250034, 3.153774822340739, -91.91409418853472]]",0.6432096659769622,0.2512541780752839,-0.0021938695561743143,-0.003067048180505445,313.1792466140523,2.0056075328546337,313.23229607955903,[14010.50401705 18692.01882328  5995.98415271],"[-15.869771934578985, 64.27501581672725, -63.87530305390669]",2021-01-12 19:30:00,120520.321632,"GPS BIIRM-5 (PRN 29)    
",1,0,0
"[-24038.829631106393, 12077.112589136532, 0]","[-1.7393207574461997, -3.4059504925803266, 0]","[-12817.102430141515, -22555.99498360055, 7118.35332918267]","[2.386914578308178, -0.45433211198641743, 2.953295884781822]","[-25013.965186846104, -6881.320370118208, 7118.353329182669]","[[1.3661311736553963, -2.0093442931685637, -26.7877153504642]]",4.859846742931916,-0.016195402742509916,0.0006332922370315236,-0.0007858278590375482,153.3179350614223,2.0057046204621574,152.9503392480129,[-25896.08518861   3846.49843135   -424.03592814],"[-2.213642308926604, 17.090422246017173, -20.6519424691865]",2021-01-12 19:30:00,131632.517665,"GPS BIIRM-6 (PRN 07)    
",0,0,0
"[26262.058434656978, -2768.380857925565, 0]","[0.4061122535416382, 3.875153382860217, 0]","[-15576.836634511195, 15277.783763170053, 14876.529485986772]","[-0.786151043124898, -3.045254773240943, 2.300028436045203]","[-206.99942083155292, 21817.554113424536, 14876.52948598677]","[[-2.7095397398559657, -1.5968733496099112, -59.85522153874113]]",0.16577781996813545,-0.3925382829717188,-0.0006630660870589985,-0.0011035969979589116,353.9821557831574,2.005487313668365,354.0173984072217,[  4306.38510588  25738.44239574 -10804.48977125],"[-11.013629782070959, 39.031003342470896, -44.134112573516624]",2021-01-12 19:30:00,306569.847168,"GPS BIIRM-8 (PRN 05)    
",0,0,0
