Sat No.,Sat Name,AOS Time,LOS Time,Min Expected Level
0,"GPS BIIR-2  (PRN 13)    
",2021-01-12 10:30:00,2021-01-12 12:35:00,-92.83993104404824
1,"GPS BIIR-4  (PRN 20)    
",2021-01-12 10:30:00,2021-01-12 15:35:00,-92.51784713702652
11,"GPS BIIRM-4 (PRN 15)    
",2021-01-12 10:30:00,2021-01-12 14:10:00,-93.02380400932184
12,"GPS BIIRM-5 (PRN 29)    
",2021-01-12 10:30:00,2021-01-12 11:25:00,-92.48457150752866
14,"GPS BIIRM-8 (PRN 05)    
",2021-01-12 10:30:00,2021-01-12 11:35:00,-92.45646319948382
17,"GPS BIIF-3  (PRN 24)    
",2021-01-12 10:30:00,2021-01-12 15:20:00,-92.13318458865957
19,"GPS BIIF-5  (PRN 30)    
",2021-01-12 10:30:00,2021-01-12 10:45:00,-92.08439884246552
28,"GPS BIII-2  (PRN 18)    
",2021-01-12 10:30:00,2021-01-12 14:00:00,-92.85964586475204
29,"GPS BIII-3  (PRN 23)    
",2021-01-12 10:30:00,2021-01-12 15:45:00,-92.49716441459502
25,"GPS BIIF-11 (PRN 10)    
",2021-01-12 10:45:00,2021-01-12 14:00:00,-92.03998576030754
18,"GPS BIIF-4  (PRN 27)    
",2021-01-12 10:55:00,2021-01-12 13:10:00,-92.1025045393966
26,"GPS BIIF-12 (PRN 32)    
",2021-01-12 12:05:00,2021-01-12 18:40:00,-92.050460483079
10,"GPS BIIRM-3 (PRN 12)    
",2021-01-12 13:30:00,2021-01-12 16:50:00,-92.0860179801599
4,"GPS BIIR-9  (PRN 21)    
",2021-01-12 13:35:00,2021-01-12 16:35:00,-91.97025444653973
15,"GPS BIIF-1  (PRN 25)    
",2021-01-12 14:05:00,2021-01-12 18:20:00,-92.11929697046789
25,"GPS BIIF-11 (PRN 10)    
",2021-01-12 14:05:00,2021-01-12 16:50:00,-92.99496698913943
9,"GPS BIIRM-2 (PRN 31)    
",2021-01-12 14:10:00,2021-01-12 20:35:00,-92.1175195833214
16,"GPS BIIF-2  (PRN 01)    
",2021-01-12 14:25:00,2021-01-12 17:05:00,-92.10004581605021
5,"GPS BIIR-10 (PRN 22)    
",2021-01-12 15:10:00,2021-01-12 19:30:00,-92.07540977279324
22,"GPS BIIF-8  (PRN 03)    
",2021-01-12 16:05:00,2021-01-12 20:10:00,-92.10972237077773
23,"GPS BIIF-9  (PRN 26)    
",2021-01-12 16:10:00,2021-01-12 21:55:00,-92.11680932003479
12,"GPS BIIRM-5 (PRN 29)    
",2021-01-12 17:10:00,2021-01-12 19:50:00,-92.06360875232782
28,"GPS BIII-2  (PRN 18)    
",2021-01-12 21:05:00,2021-01-12 21:30:00,-92.06113428176145
