Sat Name,Azimuth(rads),Elevation(rads),Time
"GPS BIIR-8  (PRN 16)    
",3.4400680355259206,1.3307982847055255,2021-01-12 19:30:00
"GPS BIIRM-2 (PRN 31)    
",1.5295116795521775,0.52654376450179,2021-01-12 19:30:00
"GPS BIIRM-5 (PRN 29)    
",0.6432096659769622,0.2512541780752839,2021-01-12 19:30:00
"GPS BIIF-4  (PRN 27)    
",2.8234175170946507,0.33975256719943897,2021-01-12 19:30:00
"GPS BIIF-7  (PRN 09)    
",5.416133560914726,0.4930479367610497,2021-01-12 19:30:00
"GPS BIIF-8  (PRN 03)    
",4.095659575919148,0.3862140498935823,2021-01-12 19:30:00
"GPS BIIF-9  (PRN 26)    
",1.0717586060458615,1.1417436750696315,2021-01-12 19:30:00
"GPS BIII-1  (PRN 04)    
",5.001480092198178,1.1370264400854992,2021-01-12 19:30:00
"GPS BIIR-8  (PRN 16)    
",3.407852007794854,1.3752415233124928,2021-01-12 19:35:00
"GPS BIIRM-2 (PRN 31)    
",1.5566137924452494,0.49504698181249673,2021-01-12 19:35:00
"GPS BIIRM-5 (PRN 29)    
",0.6164922978651504,0.2288258054227441,2021-01-12 19:35:00
"GPS BIIF-4  (PRN 27)    
",2.8100025754409614,0.37764366708225316,2021-01-12 19:35:00
"GPS BIIF-7  (PRN 09)    
",5.405648239614351,0.5274548489142186,2021-01-12 19:35:00
"GPS BIIF-8  (PRN 03)    
",4.067934816552,0.35532490306964803,2021-01-12 19:35:00
"GPS BIIF-9  (PRN 26)    
",1.0463105343348307,1.1030224618093878,2021-01-12 19:35:00
"GPS BIII-1  (PRN 04)    
",4.9209913474985125,1.1629979229596163,2021-01-12 19:35:00
"GPS BIIR-8  (PRN 16)    
",3.348697416053522,1.4188953705510148,2021-01-12 19:40:00
"GPS BIIRM-2 (PRN 31)    
",1.5833977498798246,0.4637319702248526,2021-01-12 19:40:00
"GPS BIIRM-5 (PRN 29)    
",0.5914201108644423,0.20519720542295322,2021-01-12 19:40:00
"GPS BIIF-4  (PRN 27)    
",2.796137614009167,0.41595490710686456,2021-01-12 19:40:00
"GPS BIIF-7  (PRN 09)    
",5.39278848136165,0.5616275213383405,2021-01-12 19:40:00
"GPS BIIF-8  (PRN 03)    
",4.0413027598413915,0.3242298526382208,2021-01-12 19:40:00
"GPS BIIF-9  (PRN 26)    
",1.028095327860866,1.064019454557955,2021-01-12 19:40:00
"GPS BIII-1  (PRN 04)    
",4.827714677257608,1.1850734319402367,2021-01-12 19:40:00
"GPS BIIR-8  (PRN 16)    
",3.231874874990136,1.460908323901302,2021-01-12 19:45:00
"GPS BIIRM-2 (PRN 31)    
",1.6098662798262193,0.43258991466422764,2021-01-12 19:45:00
"GPS BIIRM-5 (PRN 29)    
",0.5679876435994782,0.18047546410925586,2021-01-12 19:45:00
"GPS BIIF-4  (PRN 27)    
",2.781687244430369,0.45464410724515997,2021-01-12 19:45:00
"GPS BIIF-7  (PRN 09)    
",5.377353214046356,0.5954599336348801,2021-01-12 19:45:00
"GPS BIIF-8  (PRN 03)    
",4.015634977985686,0.2930270027370716,2021-01-12 19:45:00
"GPS BIIF-9  (PRN 26)    
",1.0156368809680822,1.0249202251214296,2021-01-12 19:45:00
"GPS BIII-1  (PRN 04)    
",4.721967970716206,1.2024153650473093,2021-01-12 19:45:00
"GPS BIIR-8  (PRN 16)    
",2.9671683810798815,1.4985999356588224,2021-01-12 19:50:00
"GPS BIIRM-2 (PRN 31)    
",1.636019846901279,0.40161206433682634,2021-01-12 19:50:00
"GPS BIIF-4  (PRN 27)    
",2.7664993633686628,0.4936633227398865,2021-01-12 19:50:00
"GPS BIIF-7  (PRN 09)    
",5.35912454364562,0.6288301037100062,2021-01-12 19:50:00
"GPS BIIF-8  (PRN 03)    
",3.990808282164267,0.2618057874240822,2021-01-12 19:50:00
"GPS BIIF-9  (PRN 26)    
",1.0078288324611915,0.9858620452319159,2021-01-12 19:50:00
"GPS BIII-1  (PRN 04)    
",4.605487132692275,1.2142103771346768,2021-01-12 19:50:00
"GPS BIIR-8  (PRN 16)    
",2.322455213830697,1.521420935637817,2021-01-12 19:55:00
"GPS BIIRM-2 (PRN 31)    
",1.6618569799530327,0.37078979214912294,2021-01-12 19:55:00
"GPS BIIF-4  (PRN 27)    
",2.7504021146637196,0.532957689931922,2021-01-12 19:55:00
"GPS BIIF-7  (PRN 09)    
",5.337869032048404,0.6615982109499566,2021-01-12 19:55:00
"GPS BIIF-8  (PRN 03)    
",3.966705189055367,0.2306478518808051,2021-01-12 19:55:00
"GPS BIIF-9  (PRN 26)    
",1.0038312880671656,0.9469480135221379,2021-01-12 19:55:00
"GPS BIII-1  (PRN 04)    
",4.481654283825645,1.219795852948603,2021-01-12 19:55:00
"GPS BIIR-8  (PRN 16)    
",1.5274169580259596,1.5100266994239369,2021-01-12 20:00:00
"GPS BIIRM-2 (PRN 31)    
",1.6873745431843927,0.3401146469377149,2021-01-12 20:00:00
"GPS BIIRM-6 (PRN 07)    
",4.987852167821885,0.1577495247603102,2021-01-12 20:00:00
"GPS BIIF-4  (PRN 27)    
",2.7332003045888413,0.5724640664760022,2021-01-12 20:00:00
"GPS BIIF-7  (PRN 09)    
",5.313340534798513,0.6936047018363066,2021-01-12 20:00:00
"GPS BIIF-8  (PRN 03)    
",3.9432141197549573,0.19962791072688515,2021-01-12 20:00:00
"GPS BIIF-9  (PRN 26)    
",1.0029980611360738,0.9082564687370069,2021-01-12 20:00:00
"GPS BIII-1  (PRN 04)    
",4.355204139284057,1.2187957938975456,2021-01-12 20:00:00
"GPS BIIR-8  (PRN 16)    
",1.157818637873941,1.4764225614820556,2021-01-12 20:05:00
"GPS BIIRM-2 (PRN 31)    
",1.7125679608853552,0.3095783992681543,2021-01-12 20:05:00
"GPS BIIRM-6 (PRN 07)    
",5.008371056716572,0.18779951696370886,2021-01-12 20:05:00
"GPS BIIF-4  (PRN 27)    
",2.7146711964027332,0.6121094181956689,2021-01-12 20:05:00
"GPS BIIF-7  (PRN 09)    
",5.285285247154184,0.7246685049757818,2021-01-12 20:05:00
"GPS BIIF-8  (PRN 03)    
",3.920229410652431,0.16881456815374463,2021-01-12 20:05:00
"GPS BIIF-9  (PRN 26)    
",1.004825349813169,0.8698473865147033,2021-01-12 20:05:00
"GPS BIII-1  (PRN 04)    
",4.231349875473034,1.2112095811065828,2021-01-12 20:05:00
"GPS BIIR-8  (PRN 16)    
",1.0048854317665263,1.4366452482063117,2021-01-12 20:10:00
"GPS BIIRM-2 (PRN 31)    
",1.737431403645548,0.27917308146257086,2021-01-12 20:10:00
"GPS BIIRM-6 (PRN 07)    
",5.028589148616524,0.2181865468632769,2021-01-12 20:10:00
"GPS BIIF-4  (PRN 27)    
",2.6945596226257713,0.6518088931978562,2021-01-12 20:10:00
"GPS BIIF-7  (PRN 09)    
",5.253449746743516,0.7545855537641043,2021-01-12 20:10:00
"GPS BIIF-9  (PRN 26)    
",1.0089152743791345,0.8317668180870886,2021-01-12 20:10:00
"GPS BIIF-10 (PRN 08)    
",3.198157400895548,0.184953671372969,2021-01-12 20:10:00
"GPS BIII-1  (PRN 04)    
",4.114675529119522,1.1974078334804144,2021-01-12 20:10:00
"GPS BIIR-8  (PRN 16)    
",0.9322536887029127,1.3950930827347705,2021-01-12 20:15:00
"GPS BIIRM-2 (PRN 31)    
",1.7619579422281682,0.2488910224431615,2021-01-12 20:15:00
"GPS BIIRM-6 (PRN 07)    
",5.048478339311612,0.2489231062489154,2021-01-12 20:15:00
"GPS BIIF-4  (PRN 27)    
",2.672572388019681,0.6914635105312922,2021-01-12 20:15:00
"GPS BIIF-7  (PRN 09)    
",5.217592911285538,0.7831279077960739,2021-01-12 20:15:00
"GPS BIIF-9  (PRN 26)    
",1.0149497098698266,0.7940500366436374,2021-01-12 20:15:00
"GPS BIIF-10 (PRN 08)    
",3.1938308333546903,0.2222251059407576,2021-01-12 20:15:00
"GPS BIII-1  (PRN 04)    
",4.008332284360698,1.1780383336245237,2021-01-12 20:15:00
"GPS BIIR-8  (PRN 16)    
",0.895257647570741,1.3530088378807466,2021-01-12 20:20:00
"GPS BIIRM-2 (PRN 31)    
",1.786139673974585,0.21872487792447876,2021-01-12 20:20:00
"GPS BIIRM-6 (PRN 07)    
",5.0680088930016005,0.2800213718464363,2021-01-12 20:20:00
"GPS BIIF-4  (PRN 27)    
",2.648372010644227,0.730957376637169,2021-01-12 20:20:00
"GPS BIIF-7  (PRN 09)    
",5.177502552499396,0.8100438751957754,2021-01-12 20:20:00
"GPS BIIF-9  (PRN 26)    
",1.0226712923812569,0.7567238156532028,2021-01-12 20:20:00
"GPS BIIF-10 (PRN 08)    
",3.189872478710383,0.26006188164800587,2021-01-12 20:20:00
"GPS BIII-1  (PRN 04)    
",3.9138309449006465,1.1538908572109483,2021-01-12 20:20:00
"GPS BIIR-8  (PRN 16)    
",0.8768531386212679,1.3108581759730442,2021-01-12 20:25:00
"GPS BIIRM-2 (PRN 31)    
",1.8099678255822287,0.1886676564477216,2021-01-12 20:25:00
"GPS BIIRM-6 (PRN 07)    
",5.087149141260783,0.3114931251155969,2021-01-12 20:25:00
"GPS BIIF-4  (PRN 27)    
",2.62156999139361,0.7701543306299646,2021-01-12 20:25:00
"GPS BIIF-7  (PRN 09)    
",5.133017325055923,0.8350596535056579,2021-01-12 20:25:00
"GPS BIIF-9  (PRN 26)    
",1.031869468902057,0.7198081136277866,2021-01-12 20:25:00
"GPS BIIF-10 (PRN 08)    
",3.186232470241394,0.2984519847793264,2021-01-12 20:25:00
"GPS BIII-1  (PRN 04)    
",3.831322467724354,1.125775549278689,2021-01-12 20:25:00
"GPS BIIR-8  (PRN 16)    
",0.8693502195483109,1.2688581519057207,2021-01-12 20:30:00
"GPS BIIRM-2 (PRN 31)    
",1.8334328352876206,0.15871274172047953,2021-01-12 20:30:00
"GPS BIIRM-6 (PRN 07)    
",5.105865124044687,0.3433496616780489,2021-01-12 20:30:00
"GPS BIIF-4  (PRN 27)    
",2.591720059777588,0.8088939144340165,2021-01-12 20:30:00
"GPS BIIF-7  (PRN 09)    
",5.084053795202234,0.8578830962005293,2021-01-12 20:30:00
"GPS BIIF-9  (PRN 26)    
",1.042370130549303,0.6833173456825953,2021-01-12 20:30:00
"GPS BIIF-10 (PRN 08)    
",3.1828576075005848,0.33738284153030246,2021-01-12 20:30:00
"GPS BIII-1  (PRN 04)    
",3.7600722038131154,1.0944431555414051,2021-01-12 20:30:00
"GPS BIIR-8  (PRN 16)    
",0.8688128077663402,1.2271273371000793,2021-01-12 20:35:00
"GPS BIIRM-6 (PRN 07)    
",5.12412015973581,0.3756016886246607,2021-01-12 20:35:00
"GPS BIIF-4  (PRN 27)    
",2.5583122846763047,0.8469865764458469,2021-01-12 20:35:00
"GPS BIIF-7  (PRN 09)    
",5.030637355575453,0.8782102229955441,2021-01-12 20:35:00
"GPS BIIF-9  (PRN 26)    
",1.0540278204029923,0.6472613622567889,2021-01-12 20:35:00
"GPS BIIF-10 (PRN 08)    
",3.179690530485207,0.3768410549695539,2021-01-12 20:35:00
"GPS BIII-1  (PRN 04)    
",3.6988965517934873,1.0605475002156088,2021-01-12 20:35:00
"GPS BIIR-8  (PRN 16)    
",0.8730274144351116,1.1857384370379072,2021-01-12 20:40:00
