Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth(deg),Elevation(deg),Rate of AZ(rads/s),Rate of EL(rads/s),Mean Anom @time,Mean Anom Motion @time,Eccentric Anomaly,Topocentric Range,Topocentric Reletive Velocity,Time,Time Since Epoch(s),Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost,Minimum Power Required(dBm),Signal Loss(dB),DopplerShift(Hertz),Minimul Received Power (dBm)
"[26112.926637663502, 4124.566191175421, 0]","[-0.6044044070067611, 3.8448065198681776, 0]","[-11155.232456163267, -13081.585382598774, 20083.074878517058]","[3.520404644577311, -1.1006376444406833, 1.2422518973656675]","[13151.010783558982, -11073.301343500756, 20083.074878517058]",[[0.27114818 2.56822411 1.2422519 ]],68.1483763911793,56.51534752157593,-0.000188138392368569,-7.771068158653997e-05,8.976075616880053,2.0056233597264397,8.933699331548722,[10578.64555439  4242.2165226  17229.84536106],"[0.7960555626744545, 2.6295423647949474, -0.8150390556220379]",2021-01-12 10:30:00,94152.364417,"GPS BIIR-2  (PRN 13)    
",1,1,0,-20.741631623881574,-182.69165554762023,-1407.5039546323962,-92.83993104404824
"[-11498.808445218367, -24015.262094062025, 0]","[3.494115890159973, -1.6505290049996502, 0]","[-14808.42563073214, 15275.787015806058, 16009.880402211762]","[-0.9612533998600707, -3.1254524385525544, 2.0592791956937044]","[-15182.988891132762, -14903.556184512898, 16009.880402211762]",[[2.04461131 0.16544947 2.0592792 ]],279.26494010167113,35.2364170242604,8.560401273510285e-05,0.00011296529967147419,244.4154429315804,2.005637459536051,244.71480107435636,[-17935.25352559   2925.74245383  12836.46872824],"[2.0346644798697673, 1.2442751537297811, 1.6614329750812455]",2021-01-12 10:30:00,48635.790336,"GPS BIIR-4  (PRN 20)    
",1,1,0,-19.775379902816383,-183.3358233616637,2722.0385015412867,-92.51784713702652
"[1237.0942890264023, 26499.8066501815, 0]","[-3.8703728689675714, 0.2517484786958443, 0]","[12832.665790491737, -22943.948844761835, 3559.2211079730623]","[1.7429002626431962, 1.3853939425758952, 3.1758692888275872]","[22863.34260694053, 12975.733687123931, 3559.2211079730623]",[[-0.45004833  0.06699104  3.17586929]],71.82359057115099,-20.026061797222425,-8.871155115520315e-05,8.107387541649445e-05,87.32848257267858,2.0056422633405617,86.27781304804364,[25051.38997704  8225.05002009 -9610.4214966 ],"[-0.42648794058222705, 2.321886261242777, 2.172585847037694]",2021-01-12 10:30:00,66239.107777,"GPS BIIR-5  (PRN 28)    
",0,0,0,-16.75011450436392,-185.352666960632,2334.2198107515846,-91.50942533754237
"[-3987.2611222995533, 26303.08601676631, 0]","[-3.830476648177311, -0.5345825872862603, 0]","[2245.9341597845023, 21340.79712752559, 15725.035547639225]","[-2.4979824354863585, 1.9520752887268586, -2.2153590485528407]","[-21354.40990195845, 2112.586099412395, 15725.035547639225]",[[-1.78238146 -0.95293894 -2.21535905]],307.3491017811418,0.3796395526230623,-0.0001058582697334429,-4.673572188373194e-05,98.61797763417542,2.005684640409509,97.94545670911494,[-20456.81097239  15611.63709585    170.5105219 ],"[-1.940841869733075, -1.9455664664536338, -1.200289946360755]",2021-01-12 10:30:00,81412.312032,"GPS BIIR-8  (PRN 16)    
",0,0,0,-17.87939980026863,-184.59981009669553,-1863.4001466858028,-91.8858537695106
"[13401.666612859597, 22534.5533763608, 0]","[-3.3305552781697507, 2.0751950243825763, 0]","[20306.111939755752, 16127.0067979889, -3871.9805658109753]","[-0.9919747979941715, 2.1348337971827736, 3.139666146060308]","[-16253.533305439178, 20204.979224469665, -3871.9805658109753]",[[-0.65522534  0.17993589  3.13966615]],319.9557474729002,-54.43200562001646,5.9584858353651324e-05,9.879376626155376e-05,59.282081658147604,2.005563683300983,58.066239918412734,[-11726.99592527  13953.78833255 -25489.54673285],"[-0.6038938610501368, 2.4066285220968786, 2.040257837231082]",2021-01-12 10:30:00,82256.662945,"GPS BIIR-9  (PRN 21)    
",0,0,0,-15.313241103160237,-186.31058256143447,1901.9653893089755,-91.03046753714115
"[25820.762765307885, -5384.94034872502, 0]","[0.7909204044109216, 3.8198196177747428, 0]","[12874.624624508606, 10890.969993338387, -20281.523259455556]","[-1.5122837221546803, 3.4774968531075654, 0.9146532560392986]","[-10971.178230548285, 12806.343539486355, -20281.523259455556]",[[-2.5341292  -0.73394521  0.91465326]],246.9436041175288,-74.4054028996897,0.0001691680702353088,4.1873736937491354e-05,348.21890605249973,2.0056771891772076,348.30209896325294,[ -8087.71310458  -3442.42949719 -31493.16250356],"[-2.631102523321953, 0.49615769392324033, 0.792593218785082]",2021-01-12 10:30:00,120567.622176,"GPS BIIR-10 (PRN 22)    
",0,0,0,-14.759408637315744,-186.6798042053308,866.20412860742,-90.845856715193
"[-26585.434990118556, -3305.9067102467243, 0]","[0.47806692180729915, -3.810633480682894, 0]","[7205.436953101451, -14853.784322951702, -21098.842205030804]","[3.6855254120880088, 0.3386869307500971, 1.0255091933377969]","[14808.48612757208, 7298.079816457956, -21098.842205030804]",[[0.17048266 2.60348596 1.02550919]],126.21403539635506,-51.16552747292102,-0.00012348992429884,-4.6122234171414386e-05,187.08915680219968,2.0057094995052975,187.15047044560222,[ 15997.05295747 -11714.09175336 -24629.94742789],"[0.7048505988052807, 2.518612156040357, -1.0092824310741877]",2021-01-12 10:30:00,56969.739937,"GPS BIIR-11 (PRN 19)    
",0,0,0,-15.196129943211929,-186.3886566680667,-1102.011611529538,-90.99143048382506
"[10652.484249379782, -24078.364610263863, 0]","[3.5435186084181476, 1.6472702835416473, 0]","[-12770.034378329829, -21230.42599765106, -8912.816441654573]","[2.612146380880865, -0.2659413880664099, -2.8941302628267063]","[21309.77920182004, -12637.17042834913, -8912.816441654573]",[[-0.67189755  1.05982283 -2.89413026]],134.984226346734,-3.0555383224292085,4.402571579336583e-05,-0.00011115778987921636,293.8515299083307,2.0057311238064943,294.9368549110021,[ 18238.08490147 -18228.0456958   -1376.42258266],"[-0.43836467663604606, -1.166882384280417, -2.8977375030155854]",2021-01-12 10:30:00,46223.574913,"GPS BIIR-13 (PRN 02)    
",0,0,0,-17.834789164061192,-184.62955052083385,-3513.198084829378,-91.87098355744148
"[20209.544148419707, 16790.3059285236, 0]","[-2.4758994134125745, 3.0336708121227405, 0]","[14636.469010564939, -13563.03576407992, -17092.626586496328]","[3.2389315362647375, 0.8959860338812687, 2.0099174192343403]","[13471.345172529747, 14720.904302300802, -17092.626586496328]",[[0.15726501 2.25092552 2.00991742]],102.20820238543403,-58.41091626710091,-0.00018201048415326468,-2.297744088773175e-06,39.728352205353985,2.005807776848102,39.21656916146745,[ 16222.81335215  -3509.92747408 -26991.46253186],"[0.619056540808871, 2.957003191137508, -0.06377420610634554]",2021-01-12 10:30:00,58885.575265,"GPS BIIRM-1 (PRN 17)    
",0,0,0,-15.16831174638304,-186.40720213261926,-229.7434601125625,-90.98215775154874
"[-20816.910408866042, -16822.866991884668, 0]","[2.4350376308981443, -2.9747269287350893, 0]","[1652.1201424332285, 20623.310630059663, -16979.463197887988]","[-2.9883726222118123, -1.4096826545970402, -1.9649001116023392]","[-20633.228171956525, 1523.2654111956854, -16979.463197887988]",[[ 1.53940015 -1.47490991 -1.96490011]],248.95441876317358,-46.99833847621381,-0.00013562167039566378,-8.832394409788118e-06,218.94697415387907,2.005576626295456,219.301522849524,[-19872.98993768  -7646.67106285 -22833.00866   ],"[1.2013557061432976, -2.6319886765786427, -0.1879484156460085]",2021-01-12 10:30:00,49479.954625,"GPS BIIRM-2 (PRN 31)    
",0,0,0,-15.361143366827292,-186.27864771898976,-91.3685684931153,-91.04643495836349
